Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Summer Yates,us USA,MF,25,15,5,514,5.7,0,1,1,0,0,0,1,0,1.4,1.4,2.1,3.4,9,12,28,0,0.18,0.18,0,0.18,0.24,0.37,0.6,0.24,0.6,Matches
Zara Chavosi,ca CAN,DF,22,9,5,482,5.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,4,23,1,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
Prisca Chilufya,zm ZAM,"FW,MF",26,16,4,512,5.7,2,0,2,2,0,0,2,0,1.3,1.3,1.1,2.4,28,7,54,0.35,0,0.35,0.35,0.35,0.23,0.19,0.42,0.23,0.42,Matches
Julie Doyle,us USA,"MF,FW",27,10,4,344,3.8,1,1,2,1,0,1,0,0,1.1,0.4,0.7,1.1,9,6,26,0.26,0.26,0.52,0.26,0.52,0.3,0.18,0.48,0.11,0.29,Matches
Simone Charley,us USA,"FW,MF",30,9,1,226,2.5,1,0,1,1,0,0,1,0,1.9,1.9,0.1,2,5,4,14,0.4,0,0.4,0.4,0.4,0.77,0.04,0.81,0.77,0.81,Matches
Simone Jackson,us USA,"MF,FW",22,7,1,202,2.2,0,1,1,0,0,0,0,0,0.8,0.8,0.7,1.5,5,4,17,0,0.45,0.45,0,0.45,0.36,0.3,0.66,0.36,0.66,Matches
Viviana Villacorta,us USA,"MF,DF",26,6,0,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,Matches
Grace Chanda,zm ZAM,"MF,FW",28,4,0,40,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,2,2,2,0,0,0,0,0,0.38,0,0.38,0.38,0.38,Matches
Luana,br BRA,"FW,MF",32,3,0,31,0.3,0,0,0,0,0,0,1,0,0,0,0.2,0.2,0,1,1,0,0,0,0,0,0,0.49,0.49,0,0.49,Matches
Brianna Martinez,us USA,FW,25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Matches
Elyse Bennett,us USA,FW,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
